duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,exito,prob_exito
11,860946,Más de 1M,Experto,General,Híbrido,4,Dentro del mercado,48,1,45.29
12,779330,Menos de 250k,Intermedio,General,Híbrido,5,Dentro del mercado,69,1,38.35
13,373824,Más de 1M,Intermedio,Específica,Presencial,1,Por debajo del mercado,120,1,35.39
12,276568,Más de 1M,Básico,General,Híbrido,13,Dentro del mercado,23,0,11.88
16,710595,Menos de 250k,Intermedio,Específica,Presencial,5,Por encima del mercado,96,1,30.27
13,226070,Menos de 250k,Intermedio,Específica,Híbrido,1,Dentro del mercado,10,1,32.02
13,366332,Más de 1M,Experto,Sin Experiencia,Híbrido,5,Por debajo del mercado,101,1,26.37
10,236974,250k a 1M,Intermedio,Específica,Híbrido,9,Por debajo del mercado,169,1,20.78
6,501182,Más de 1M,Experto,General,Remoto,1,Dentro del mercado,100,1,50.77
13,793037,Más de 1M,Intermedio,General,Remoto,1,Por debajo del mercado,27,1,46.29
19,574983,Más de 1M,Intermedio,Específica,Presencial,5,Por encima del mercado,72,0,23.01
15,703615,Más de 1M,Intermedio,Sin Experiencia,Híbrido,5,Por encima del mercado,131,1,33.35
7,429640,Menos de 250k,Básico,Específica,Presencial,7,Por encima del mercado,108,1,34.66
17,519461,Más de 1M,Experto,Específica,Presencial,9,Por encima del mercado,123,1,15.99
10,254712,250k a 1M,Básico,General,Híbrido,7,Por debajo del mercado,91,1,25.04
16,480623,Menos de 250k,Intermedio,Sin Experiencia,Remoto,1,Por debajo del mercado,62,1,32.87
10,350806,250k a 1M,Básico,Sin Experiencia,Remoto,2,Dentro del mercado,106,1,38.88
14,467946,250k a 1M,Experto,Sin Experiencia,Presencial,3,Por debajo del mercado,103,1,32.96
9,454198,250k a 1M,Intermedio,Sin Experiencia,Remoto,7,Dentro del mercado,151,1,31.87
9,437112,250k a 1M,Básico,General,Híbrido,7,Por debajo del mercado,77,1,32.22
3,921511,Menos de 250k,Básico,Sin Experiencia,Híbrido,9,Dentro del mercado,102,1,51.13
