duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito,exito
59,392907,Menos de 250k,Experto,General,Presencial,17,Por debajo del mercado,0,100.0,1
40,106386,Más de 1M,Básico,General,Híbrido,12,Por encima del mercado,0,95.0,1
41,796757,Más de 1M,Experto,Sin Experiencia,Presencial,19,Dentro del mercado,1,77.9,1
39,327707,Entre 250k y 1M,Experto,General,Híbrido,7,Dentro del mercado,1,100.0,1
36,274982,Menos de 250k,Experto,Específica,Híbrido,2,Por encima del mercado,0,100.0,1
53,266038,Entre 250k y 1M,Intermedio,General,Presencial,11,Por debajo del mercado,1,100.0,1
14,827819,Más de 1M,Intermedio,Sin Experiencia,Remoto,17,Por debajo del mercado,0,100.0,1
51,793293,Más de 1M,Intermedio,Sin Experiencia,Presencial,15,Por debajo del mercado,1,77.2,1
58,748386,Entre 250k y 1M,Básico,General,Remoto,2,Por debajo del mercado,0,56.9,0
45,357252,Entre 250k y 1M,Básico,Sin Experiencia,Presencial,6,Dentro del mercado,1,100.0,1
19,485547,Entre 250k y 1M,Básico,General,Remoto,5,Por debajo del mercado,0,100.0,1
32,859718,Más de 1M,Experto,Específica,Presencial,18,Por debajo del mercado,0,100.0,1
43,167320,Menos de 250k,Experto,Sin Experiencia,Presencial,4,Por encima del mercado,1,100.0,1
60,924592,Entre 250k y 1M,Intermedio,Sin Experiencia,Presencial,18,Dentro del mercado,1,61.0,0
19,527122,Entre 250k y 1M,Básico,General,Remoto,2,Por encima del mercado,0,51.2,0
17,486313,Menos de 250k,Básico,General,Remoto,5,Por encima del mercado,1,100.0,1
42,183774,Entre 250k y 1M,Básico,Específica,Remoto,1,Por debajo del mercado,0,100.0,1
56,344664,Menos de 250k,Intermedio,Específica,Presencial,12,Por encima del mercado,1,86.5,1
41,219802,Entre 250k y 1M,Experto,Sin Experiencia,Presencial,8,Por encima del mercado,0,61.8,0
14,730009,Más de 1M,Experto,Específica,Remoto,9,Por encima del mercado,1,100.0,1
28,161532,Menos de 250k,Básico,Sin Experiencia,Presencial,2,Dentro del mercado,1,96.6,1
21,748300,Más de 1M,Experto,Específica,Híbrido,16,Dentro del mercado,1,56.1,0
20,641157,Menos de 250k,Experto,Sin Experiencia,Remoto,10,Por encima del mercado,0,95.6,1
24,646634,Menos de 250k,Experto,General,Remoto,10,Dentro del mercado,0,69.5,0
23,354650,Menos de 250k,Experto,Sin Experiencia,Híbrido,16,Dentro del mercado,1,94.3,1
58,585194,Entre 250k y 1M,Básico,Específica,Híbrido,12,Por debajo del mercado,0,99.8,1
36,223510,Más de 1M,Básico,Sin Experiencia,Híbrido,2,Dentro del mercado,1,100.0,1
45,730867,Entre 250k y 1M,Intermedio,General,Presencial,8,Por debajo del mercado,0,100.0,1
51,516163,Más de 1M,Experto,General,Remoto,16,Dentro del mercado,0,83.9,1
46,233275,Entre 250k y 1M,Experto,Específica,Remoto,7,Por encima del mercado,0,61.8,0
57,432617,Menos de 250k,Experto,Sin Experiencia,Remoto,9,Por debajo del mercado,0,87.1,1
53,59671,Entre 250k y 1M,Básico,General,Remoto,19,Por debajo del mercado,0,93.9,1
49,690001,Más de 1M,Intermedio,Sin Experiencia,Presencial,13,Por encima del mercado,1,100.0,1
47,331294,Menos de 250k,Experto,Sin Experiencia,Remoto,19,Dentro del mercado,0,86.9,1
56,613671,Más de 1M,Básico,Específica,Híbrido,6,Por encima del mercado,1,84.4,1
55,324288,Más de 1M,Experto,Sin Experiencia,Remoto,5,Dentro del mercado,0,73.8,1
42,999918,Entre 250k y 1M,Básico,Sin Experiencia,Híbrido,17,Por encima del mercado,1,100.0,1
33,277025,Entre 250k y 1M,Básico,Específica,Híbrido,1,Dentro del mercado,0,52.7,0
16,115896,Entre 250k y 1M,Experto,General,Híbrido,5,Dentro del mercado,1,100.0,1
48,741446,Entre 250k y 1M,Básico,Sin Experiencia,Híbrido,17,Dentro del mercado,1,74.7,1
46,653954,Entre 250k y 1M,Experto,Específica,Híbrido,8,Por encima del mercado,0,92.3,1
14,657358,Más de 1M,Intermedio,Sin Experiencia,Remoto,20,Por encima del mercado,1,84.7,1
35,394658,Más de 1M,Básico,Sin Experiencia,Híbrido,5,Por encima del mercado,1,88.2,1
56,92548,Menos de 250k,Experto,General,Híbrido,18,Por encima del mercado,0,88.9,1
58,637312,Entre 250k y 1M,Experto,Específica,Presencial,4,Por encima del mercado,1,89.0,1
31,174427,Menos de 250k,Básico,Sin Experiencia,Remoto,3,Dentro del mercado,1,73.2,1
53,410621,Entre 250k y 1M,Experto,Sin Experiencia,Presencial,16,Por encima del mercado,0,100.0,1
38,767908,Más de 1M,Intermedio,Sin Experiencia,Presencial,2,Dentro del mercado,1,100.0,1
24,497875,Más de 1M,Intermedio,Sin Experiencia,Remoto,19,Por encima del mercado,1,100.0,1
34,525353,Menos de 250k,Experto,General,Híbrido,4,Dentro del mercado,1,83.8,1
20,836678,Menos de 250k,Experto,Sin Experiencia,Presencial,1,Por debajo del mercado,0,100.0,1
26,77913,Entre 250k y 1M,Experto,Sin Experiencia,Presencial,14,Dentro del mercado,0,90.5,1
40,58359,Entre 250k y 1M,Básico,Sin Experiencia,Remoto,7,Por encima del mercado,1,78.6,1
20,184130,Más de 1M,Experto,Específica,Presencial,2,Por debajo del mercado,0,86.0,1
55,429973,Más de 1M,Experto,Específica,Presencial,12,Por encima del mercado,1,67.8,0
52,120109,Menos de 250k,Experto,General,Presencial,16,Dentro del mercado,0,78.3,1
35,164718,Más de 1M,Intermedio,General,Remoto,2,Por encima del mercado,1,100.0,1
32,828905,Entre 250k y 1M,Básico,Específica,Remoto,1,Dentro del mercado,1,78.7,1
13,235757,Menos de 250k,Básico,Específica,Presencial,8,Dentro del mercado,1,93.8,1
32,173417,Más de 1M,Básico,Sin Experiencia,Remoto,6,Por encima del mercado,1,100.0,1
31,329741,Entre 250k y 1M,Experto,General,Híbrido,16,Dentro del mercado,1,100.0,1
22,604153,Entre 250k y 1M,Experto,Sin Experiencia,Híbrido,17,Dentro del mercado,0,84.8,1
56,337915,Entre 250k y 1M,Experto,Específica,Presencial,9,Dentro del mercado,1,100.0,1
49,57500,Entre 250k y 1M,Básico,General,Híbrido,15,Dentro del mercado,0,89.9,1
56,727740,Menos de 250k,Experto,General,Híbrido,15,Por encima del mercado,0,100.0,1
37,782873,Menos de 250k,Experto,Sin Experiencia,Híbrido,6,Dentro del mercado,1,58.2,0
17,366368,Menos de 250k,Experto,General,Presencial,9,Por encima del mercado,0,100.0,1
37,294380,Más de 1M,Experto,Específica,Remoto,17,Por debajo del mercado,0,86.5,1
43,999391,Más de 1M,Intermedio,General,Presencial,15,Por debajo del mercado,0,82.4,1
58,620144,Menos de 250k,Básico,Específica,Híbrido,15,Por encima del mercado,1,87.5,1
47,815822,Más de 1M,Intermedio,Específica,Híbrido,19,Dentro del mercado,0,67.5,0
49,766916,Entre 250k y 1M,Básico,Específica,Remoto,4,Por encima del mercado,0,66.2,0
59,718343,Más de 1M,Básico,Específica,Remoto,6,Por encima del mercado,1,100.0,1
60,423670,Menos de 250k,Experto,Específica,Híbrido,15,Dentro del mercado,1,100.0,1
41,416552,Menos de 250k,Intermedio,Sin Experiencia,Presencial,5,Por debajo del mercado,0,72.3,1
52,188573,Entre 250k y 1M,Básico,Sin Experiencia,Presencial,13,Dentro del mercado,1,92.1,1
14,91214,Entre 250k y 1M,Experto,Específica,Presencial,4,Dentro del mercado,1,90.3,1
41,415983,Más de 1M,Intermedio,Específica,Híbrido,7,Dentro del mercado,0,91.4,1
27,341936,Entre 250k y 1M,Básico,Específica,Híbrido,7,Por debajo del mercado,1,100.0,1
40,359019,Entre 250k y 1M,Básico,Sin Experiencia,Remoto,2,Por encima del mercado,0,100.0,1
46,564304,Menos de 250k,Intermedio,Sin Experiencia,Remoto,13,Por debajo del mercado,1,57.6,0
19,117959,Menos de 250k,Intermedio,Específica,Presencial,9,Dentro del mercado,0,100.0,1
20,341783,Más de 1M,Intermedio,Específica,Híbrido,8,Por encima del mercado,0,93.2,1
27,933442,Entre 250k y 1M,Intermedio,Sin Experiencia,Presencial,16,Por debajo del mercado,1,100.0,1
42,346448,Entre 250k y 1M,Básico,Específica,Presencial,4,Dentro del mercado,1,100.0,1
25,178208,Entre 250k y 1M,Básico,Específica,Presencial,2,Por debajo del mercado,0,100.0,1
29,642652,Más de 1M,Básico,General,Presencial,4,Dentro del mercado,0,74.0,1
51,799332,Más de 1M,Básico,Sin Experiencia,Remoto,18,Dentro del mercado,1,64.1,0
53,635949,Entre 250k y 1M,Intermedio,General,Remoto,20,Dentro del mercado,0,66.3,0
45,740626,Más de 1M,Experto,Específica,Remoto,20,Por encima del mercado,0,84.2,1
20,804099,Más de 1M,Experto,Sin Experiencia,Remoto,11,Por encima del mercado,0,65.1,0
46,896212,Más de 1M,Intermedio,Sin Experiencia,Presencial,18,Por debajo del mercado,0,100.0,1
60,386328,Menos de 250k,Intermedio,General,Remoto,20,Por debajo del mercado,0,94.2,1
32,546929,Más de 1M,Experto,Sin Experiencia,Remoto,20,Dentro del mercado,1,78.6,1
56,614928,Menos de 250k,Experto,General,Presencial,15,Dentro del mercado,0,100.0,1
21,83634,Más de 1M,Básico,General,Híbrido,8,Por encima del mercado,1,79.6,1
47,444070,Menos de 250k,Básico,Sin Experiencia,Híbrido,2,Por encima del mercado,1,69.3,0
23,914906,Menos de 250k,Intermedio,General,Remoto,13,Por encima del mercado,1,100.0,1
23,335713,Menos de 250k,Experto,Específica,Híbrido,3,Por debajo del mercado,1,100.0,1
29,487131,Entre 250k y 1M,Experto,Específica,Presencial,10,Dentro del mercado,0,74.0,1
49,224111,Entre 250k y 1M,Básico,Sin Experiencia,Remoto,4,Por encima del mercado,1,100.0,1
31,82678,Más de 1M,Experto,Específica,Presencial,20,Por encima del mercado,1,90.2,1
41,629911,Más de 1M,Intermedio,General,Híbrido,12,Por debajo del mercado,1,100.0,1
45,152205,Entre 250k y 1M,Intermedio,Específica,Presencial,6,Por encima del mercado,0,100.0,1
53,549061,Más de 1M,Básico,Sin Experiencia,Híbrido,13,Dentro del mercado,0,50.9,0
23,122474,Entre 250k y 1M,Básico,Sin Experiencia,Presencial,15,Por encima del mercado,0,100.0,1
12,74977,Menos de 250k,Intermedio,General,Presencial,12,Por encima del mercado,0,94.8,1
14,420138,Menos de 250k,Experto,Específica,Remoto,9,Por encima del mercado,0,77.2,1
58,145246,Entre 250k y 1M,Intermedio,General,Híbrido,5,Por debajo del mercado,1,100.0,1
13,64469,Más de 1M,Básico,Sin Experiencia,Presencial,18,Por encima del mercado,1,100.0,1
12,120772,Menos de 250k,Básico,Específica,Remoto,20,Por debajo del mercado,0,100.0,1
29,993429,Entre 250k y 1M,Básico,Sin Experiencia,Presencial,1,Por encima del mercado,1,81.3,1
30,126342,Más de 1M,Básico,General,Presencial,5,Por debajo del mercado,0,62.7,0
22,139327,Menos de 250k,Básico,Sin Experiencia,Híbrido,10,Por encima del mercado,0,81.9,1
54,602655,Entre 250k y 1M,Intermedio,Sin Experiencia,Híbrido,12,Por debajo del mercado,1,74.4,1
27,165138,Más de 1M,Básico,Sin Experiencia,Remoto,2,Por debajo del mercado,1,94.3,1
33,400002,Menos de 250k,Intermedio,Sin Experiencia,Presencial,11,Dentro del mercado,0,79.0,1
34,370953,Más de 1M,Básico,General,Presencial,3,Dentro del mercado,1,100.0,1
19,237158,Más de 1M,Intermedio,General,Remoto,2,Dentro del mercado,0,100.0,1
53,879767,Menos de 250k,Intermedio,Sin Experiencia,Presencial,6,Dentro del mercado,0,99.4,1
16,669780,Menos de 250k,Intermedio,Específica,Remoto,10,Por encima del mercado,0,100.0,1
43,289223,Menos de 250k,Experto,Específica,Híbrido,13,Por debajo del mercado,1,100.0,1
36,64119,Más de 1M,Intermedio,Específica,Remoto,12,Por debajo del mercado,0,93.6,1
26,57175,Más de 1M,Básico,General,Presencial,12,Dentro del mercado,1,87.9,1
29,808989,Menos de 250k,Básico,Sin Experiencia,Remoto,13,Por encima del mercado,0,91.1,1
26,140880,Más de 1M,Experto,General,Remoto,7,Por debajo del mercado,1,100.0,1
31,112259,Menos de 250k,Experto,Sin Experiencia,Presencial,14,Por encima del mercado,0,69.6,0
16,565228,Más de 1M,Básico,Específica,Remoto,13,Por debajo del mercado,0,100.0,1
15,619841,Entre 250k y 1M,Intermedio,Sin Experiencia,Remoto,6,Por encima del mercado,0,53.1,0
58,85958,Más de 1M,Intermedio,Específica,Remoto,14,Por encima del mercado,0,81.4,1
16,771529,Entre 250k y 1M,Intermedio,Sin Experiencia,Remoto,5,Por debajo del mercado,0,100.0,1
38,865565,Menos de 250k,Experto,Específica,Remoto,6,Por encima del mercado,0,94.9,1
39,871199,Entre 250k y 1M,Básico,Específica,Remoto,10,Por encima del mercado,0,100.0,1
55,989250,Más de 1M,Experto,General,Presencial,12,Por debajo del mercado,0,93.5,1
37,101848,Más de 1M,Básico,Específica,Presencial,19,Dentro del mercado,1,72.2,1
16,983631,Menos de 250k,Experto,General,Presencial,10,Dentro del mercado,0,100.0,1
59,562663,Menos de 250k,Básico,General,Remoto,1,Por encima del mercado,0,74.6,1
12,135131,Más de 1M,Intermedio,Sin Experiencia,Presencial,2,Por debajo del mercado,0,100.0,1
15,601891,Más de 1M,Básico,Específica,Híbrido,11,Por encima del mercado,1,100.0,1
47,287211,Menos de 250k,Básico,Específica,Remoto,5,Por debajo del mercado,0,60.4,0
60,458913,Más de 1M,Básico,Sin Experiencia,Presencial,15,Por encima del mercado,0,100.0,1
12,957273,Entre 250k y 1M,Intermedio,Específica,Híbrido,12,Por encima del mercado,1,93.8,1
25,808578,Menos de 250k,Intermedio,Sin Experiencia,Remoto,16,Dentro del mercado,0,100.0,1
35,534217,Más de 1M,Experto,Específica,Remoto,8,Por encima del mercado,1,91.2,1
44,773140,Menos de 250k,Experto,Sin Experiencia,Híbrido,15,Dentro del mercado,1,94.1,1
22,833441,Entre 250k y 1M,Experto,Específica,Híbrido,19,Dentro del mercado,1,100.0,1
58,965475,Entre 250k y 1M,Intermedio,Específica,Remoto,16,Dentro del mercado,1,100.0,1
38,600024,Menos de 250k,Básico,Específica,Remoto,1,Dentro del mercado,0,100.0,1
13,652664,Más de 1M,Básico,General,Presencial,5,Por debajo del mercado,1,100.0,1
