duracion,presupuesto,facturacion_anual,fortaleza_tecnologica,experiencia_requerida,lugar_trabajo,numero_perfiles_requeridos,precio_hora,volumetria,prob_exito,exito
42,1171682,Menos de 250k,Experto,Específica,Híbrido,42,Por encima del mercado,0,70.9,1
57,1135328,Más de 1M,Básico,Específica,Presencial,10,Por encima del mercado,1,80.5,1
52,1448829,Más de 1M,Básico,Sin Experiencia,Remoto,38,Por encima del mercado,0,62.6,0
14,783349,Más de 1M,Básico,General,Híbrido,17,Dentro del mercado,0,95.0,1
43,922631,Menos de 250k,Experto,Específica,Remoto,12,Por debajo del mercado,1,68.9,0
20,486138,Menos de 250k,Básico,General,Híbrido,3,Por debajo del mercado,1,100.0,1
37,280235,Menos de 250k,Experto,Sin Experiencia,Híbrido,24,Dentro del mercado,0,100.0,1
46,741851,Más de 1M,Básico,Específica,Híbrido,27,Dentro del mercado,1,72.9,1
31,1725155,Entre 250k y 1M,Experto,General,Remoto,33,Por debajo del mercado,1,100.0,1
45,1284980,Menos de 250k,Básico,General,Remoto,35,Dentro del mercado,0,100.0,1
31,1113319,Más de 1M,Experto,Específica,Remoto,19,Dentro del mercado,1,100.0,1
49,1889521,Menos de 250k,Básico,General,Híbrido,29,Por debajo del mercado,1,100.0,1
45,737743,Entre 250k y 1M,Intermedio,Sin Experiencia,Remoto,44,Por debajo del mercado,1,100.0,1
25,1445763,Entre 250k y 1M,Experto,General,Remoto,5,Dentro del mercado,1,100.0,1
50,778669,Menos de 250k,Experto,General,Remoto,9,Dentro del mercado,0,96.1,1
33,384077,Más de 1M,Experto,General,Remoto,48,Por encima del mercado,1,100.0,1
58,1575760,Más de 1M,Básico,Específica,Remoto,48,Por encima del mercado,1,100.0,1
31,596182,Más de 1M,Experto,Sin Experiencia,Presencial,11,Por encima del mercado,1,100.0,1
34,1561684,Entre 250k y 1M,Intermedio,Sin Experiencia,Presencial,15,Por encima del mercado,1,100.0,1
31,416627,Menos de 250k,Intermedio,General,Remoto,34,Por debajo del mercado,0,100.0,1
31,739805,Menos de 250k,Básico,Específica,Híbrido,44,Dentro del mercado,1,100.0,1
35,1667472,Entre 250k y 1M,Intermedio,Específica,Híbrido,19,Por encima del mercado,0,56.4,0
53,1331914,Menos de 250k,Básico,General,Presencial,31,Por debajo del mercado,0,74.8,1
24,1977413,Más de 1M,Intermedio,General,Híbrido,49,Por encima del mercado,0,100.0,1
29,382507,Más de 1M,Intermedio,Específica,Presencial,50,Por encima del mercado,1,100.0,1
47,820473,Entre 250k y 1M,Experto,Específica,Presencial,25,Por debajo del mercado,0,100.0,1
26,1192402,Entre 250k y 1M,Básico,Específica,Remoto,8,Por debajo del mercado,0,70.1,1
36,1849327,Más de 1M,Experto,Específica,Remoto,6,Por encima del mercado,1,100.0,1
41,647276,Entre 250k y 1M,Experto,Específica,Presencial,20,Por debajo del mercado,1,97.7,1
51,1448666,Menos de 250k,Básico,Sin Experiencia,Remoto,18,Por debajo del mercado,1,61.4,0
25,287305,Menos de 250k,Intermedio,General,Híbrido,19,Dentro del mercado,1,96.9,1
34,716792,Menos de 250k,Experto,General,Híbrido,18,Por encima del mercado,0,98.2,1
44,778932,Más de 1M,Básico,Específica,Remoto,37,Por debajo del mercado,1,100.0,1
59,464930,Entre 250k y 1M,Intermedio,Sin Experiencia,Presencial,43,Por encima del mercado,0,100.0,1
23,420448,Menos de 250k,Intermedio,Sin Experiencia,Presencial,16,Por debajo del mercado,0,91.2,1
54,896983,Entre 250k y 1M,Experto,Sin Experiencia,Presencial,21,Por encima del mercado,0,100.0,1
58,1010857,Entre 250k y 1M,Básico,Específica,Híbrido,19,Por encima del mercado,0,98.4,1
38,671787,Más de 1M,Intermedio,General,Presencial,20,Por debajo del mercado,1,84.8,1
17,386782,Entre 250k y 1M,Intermedio,Sin Experiencia,Híbrido,24,Por encima del mercado,0,100.0,1
49,1543885,Más de 1M,Experto,General,Híbrido,21,Dentro del mercado,1,83.5,1
45,1960397,Menos de 250k,Experto,Sin Experiencia,Híbrido,15,Por encima del mercado,1,98.3,1
58,492251,Entre 250k y 1M,Experto,Sin Experiencia,Híbrido,28,Por encima del mercado,1,100.0,1
40,832318,Menos de 250k,Básico,General,Híbrido,20,Por encima del mercado,0,100.0,1
17,1129123,Más de 1M,Experto,Sin Experiencia,Presencial,12,Dentro del mercado,1,100.0,1
25,410093,Menos de 250k,Básico,Específica,Híbrido,20,Dentro del mercado,1,100.0,1
40,1293650,Entre 250k y 1M,Básico,Sin Experiencia,Remoto,3,Dentro del mercado,1,100.0,1
39,684249,Entre 250k y 1M,Experto,Específica,Remoto,22,Por debajo del mercado,1,100.0,1
26,1893750,Entre 250k y 1M,Intermedio,Específica,Híbrido,29,Por encima del mercado,1,100.0,1
27,1032226,Entre 250k y 1M,Intermedio,Específica,Presencial,11,Por encima del mercado,0,89.0,1
24,1920554,Menos de 250k,Básico,General,Remoto,4,Por debajo del mercado,0,100.0,1
19,929193,Más de 1M,Básico,General,Remoto,5,Dentro del mercado,1,100.0,1
34,1869051,Menos de 250k,Intermedio,Específica,Presencial,38,Dentro del mercado,1,72.9,1
50,1145495,Más de 1M,Intermedio,General,Remoto,26,Por encima del mercado,1,100.0,1
18,132947,Más de 1M,Intermedio,Específica,Remoto,29,Dentro del mercado,1,100.0,1
41,1914610,Más de 1M,Básico,General,Presencial,42,Dentro del mercado,0,62.0,0
49,486046,Más de 1M,Experto,Específica,Remoto,7,Por debajo del mercado,1,100.0,1
45,942802,Entre 250k y 1M,Básico,Sin Experiencia,Híbrido,42,Por encima del mercado,1,100.0,1
52,1914680,Entre 250k y 1M,Intermedio,Específica,Presencial,38,Por encima del mercado,1,89.0,1
55,359809,Más de 1M,Experto,General,Híbrido,23,Por debajo del mercado,0,100.0,1
59,501891,Más de 1M,Básico,General,Híbrido,26,Dentro del mercado,1,82.9,1
54,1905982,Más de 1M,Básico,Sin Experiencia,Presencial,4,Dentro del mercado,1,100.0,1
12,120501,Menos de 250k,Básico,Específica,Híbrido,8,Por debajo del mercado,0,63.0,0
42,1671433,Entre 250k y 1M,Intermedio,General,Híbrido,42,Por encima del mercado,0,98.7,1
33,1803008,Más de 1M,Experto,Sin Experiencia,Híbrido,16,Por debajo del mercado,1,100.0,1
16,231269,Menos de 250k,Experto,General,Remoto,2,Por encima del mercado,0,100.0,1
45,1044513,Entre 250k y 1M,Básico,General,Remoto,11,Por debajo del mercado,0,100.0,1
14,340155,Menos de 250k,Intermedio,Específica,Híbrido,6,Por encima del mercado,1,100.0,1
30,277501,Menos de 250k,Experto,Específica,Presencial,36,Por encima del mercado,0,100.0,1
31,735370,Entre 250k y 1M,Experto,General,Presencial,33,Por debajo del mercado,0,96.3,1
